timestamp,sensor_1,sensor_2,sensor_3
2024-01-01T10:00:00Z,2.1,2.0,2.2
2024-01-01T10:00:30Z,2.0,1.9,2.1
2024-01-01T10:01:00Z,2.2,2.1,2.3
2024-01-01T10:01:30Z,1.9,1.8,2.0
2024-01-01T10:02:00Z,2.3,2.2,2.4
2024-01-01T10:02:30Z,2.0,1.9,2.1
2024-01-01T10:03:00Z,2.1,2.0,2.2
2024-01-01T10:03:30Z,1.8,1.7,1.9
2024-01-01T10:04:00Z,2.4,2.3,2.5
2024-01-01T10:04:30Z,2.0,1.9,2.1
2024-01-01T10:05:00Z,2.2,2.1,2.3
2024-01-01T10:05:30Z,1.9,1.8,2.0
2024-01-01T10:06:00Z,2.1,2.0,2.2
2024-01-01T10:06:30Z,2.3,2.2,2.4
2024-01-01T10:07:00Z,2.0,1.9,2.1
2024-01-01T10:07:30Z,1.8,1.7,1.9
2024-01-01T10:08:00Z,2.2,2.1,2.3
2024-01-01T10:08:30Z,2.4,2.3,2.5
2024-01-01T10:09:00Z,2.1,2.0,2.2
2024-01-01T10:09:30Z,1.9,1.8,2.0
