timestamp,sensor_1,sensor_2,sensor_3
2024-01-01T10:00:00+01:00,25.2,25.1,25.3
2024-01-01T10:00:10+01:00,32.4,32.2,32.6
2024-01-01T10:00:20+01:00,45.8,45.5,46.0
2024-01-01T10:00:30+01:00,58.9,58.7,59.1
2024-01-01T10:00:40+01:00,72.1,71.8,72.4
2024-01-01T10:00:50+01:00,85.3,85.0,85.6
2024-01-01T10:01:00+01:00,98.7,98.4,98.9
2024-01-01T10:01:10+01:00,112.2,111.8,112.5
2024-01-01T10:01:20+01:00,125.4,125.1,125.7
2024-01-01T10:01:30+01:00,138.9,138.6,139.2
2024-01-01T10:01:40+01:00,152.1,151.8,152.4
2024-01-01T10:01:50+01:00,165.3,165.0,165.6
2024-01-01T10:02:00Z,178.8,178.5,179.1
2024-01-01T10:02:10Z,181.2,180.9,181.5
2024-01-01T10:02:20Z,182.4,182.1,182.7
2024-01-01T10:02:30Z,183.1,182.8,183.4
2024-01-01T10:02:40Z,183.5,183.2,183.8
2024-01-01T10:02:50Z,183.8,183.5,184.1
2024-01-01T10:03:00Z,184.0,183.7,184.3
2024-01-01T10:03:10Z,184.1,183.8,184.4
2024-01-01T10:03:20Z,184.2,183.9,184.5
2024-01-01T10:03:30Z,184.3,184.0,184.6
2024-01-01T10:03:40Z,184.2,183.9,184.5
2024-01-01T10:03:50Z,184.1,183.8,184.4
2024-01-01T10:04:00Z,184.0,183.7,184.3
2024-01-01T10:04:10Z,183.9,183.6,184.2
2024-01-01T10:04:20Z,183.8,183.5,184.1
2024-01-01T10:04:30Z,183.7,183.4,184.0
2024-01-01T10:04:40Z,183.6,183.3,183.9
2024-01-01T10:04:50Z,183.5,183.2,183.8
2024-01-01T10:05:00Z,183.4,183.1,183.7
2024-01-01T10:05:10Z,183.3,183.0,183.6
2024-01-01T10:05:20Z,183.2,182.9,183.5
2024-01-01T10:05:30Z,183.1,182.8,183.4
2024-01-01T10:05:40Z,183.0,182.7,183.3
2024-01-01T10:05:50Z,182.9,182.6,183.2
2024-01-01T10:06:00Z,182.8,182.5,183.1
2024-01-01T10:06:10Z,182.7,182.4,183.0
2024-01-01T10:06:20Z,182.6,182.3,182.9
2024-01-01T10:06:30Z,182.5,182.2,182.8
2024-01-01T10:06:40Z,182.4,182.1,182.7
2024-01-01T10:06:50Z,182.3,182.0,182.6
2024-01-01T10:07:00Z,182.2,181.9,182.5
2024-01-01T10:07:10Z,182.1,181.8,182.4
2024-01-01T10:07:20Z,182.0,181.7,182.3
2024-01-01T10:07:30Z,181.9,181.6,182.2
2024-01-01T10:07:40Z,181.8,181.5,182.1
2024-01-01T10:07:50Z,181.7,181.4,182.0
2024-01-01T10:08:00Z,181.6,181.3,181.9
