timestamp,sensor_1,sensor_2,sensor_3
2024-01-01T10:00:00Z,2.1,2.0,2.2
2024-01-01T10:00:30Z,5.0,4.9,5.1
2024-01-01T10:01:00Z,8.2,8.1,8.3
2024-01-01T10:01:30Z,12.9,12.8,13.0
2024-01-01T10:02:00Z,15.3,15.2,15.4
2024-01-01T10:02:30Z,18.0,17.9,18.1
2024-01-01T10:03:00Z,20.1,20.0,20.2
2024-01-01T10:03:30Z,22.8,22.7,22.9
2024-01-01T10:04:00Z,24.4,24.3,24.5
2024-01-01T10:04:30Z,25.0,24.9,25.1
2024-01-01T10:05:00Z,25.2,25.1,25.3
2024-01-01T10:05:30Z,24.9,24.8,25.0
2024-01-01T10:06:00Z,24.1,24.0,24.2
2024-01-01T10:06:30Z,23.3,23.2,23.4
2024-01-01T10:07:00Z,22.0,21.9,22.1
2024-01-01T10:07:30Z,20.8,20.7,20.9
2024-01-01T10:08:00Z,19.2,19.1,19.3
2024-01-01T10:08:30Z,17.4,17.3,17.5
2024-01-01T10:09:00Z,15.1,15.0,15.2
2024-01-01T10:09:30Z,12.9,12.8,13.0
