timestamp,sensor_1,sensor_2,sensor_3
2024-01-01T10:00:00Z,18.1,17.8,18.4
2024-01-01T10:00:30Z,10.2,9.9,10.5
2024-01-01T10:01:00Z,5.0,4.7,5.3
2024-01-01T10:01:30Z,2.3,2.0,2.6
2024-01-01T10:02:00Z,-1.1,-1.4,-0.8
2024-01-01T10:02:30Z,-4.9,-5.2,-4.6
2024-01-01T10:03:00Z,-7.2,-7.5,-6.9
2024-01-01T10:03:30Z,-8.4,-8.7,-8.1
2024-01-01T10:04:00Z,-9.0,-9.3,-8.7
2024-01-01T10:04:30Z,-8.3,-8.6,-8.0
2024-01-01T10:05:00Z,-7.1,-7.4,-6.8
2024-01-01T10:05:30Z,-5.8,-6.1,-5.5
2024-01-01T10:06:00Z,-3.2,-3.5,-2.9
2024-01-01T10:06:30Z,-0.9,-1.2,-0.6
2024-01-01T10:07:00Z,2.4,2.1,2.7
2024-01-01T10:07:30Z,5.3,5.0,5.6
2024-01-01T10:08:00Z,8.1,7.8,8.4
2024-01-01T10:08:30Z,11.9,11.6,12.2
2024-01-01T10:09:00Z,14.4,14.1,14.7
2024-01-01T10:09:30Z,16.2,15.9,16.5
2024-01-01T10:10:00Z,12.8,12.5,13.1
2024-01-01T10:10:30Z,8.5,8.2,8.8
2024-01-01T10:11:00Z,4.1,3.8,4.4
2024-01-01T10:11:30Z,-0.3,-0.6,0.0
2024-01-01T10:12:00Z,-5.7,-6.0,-5.4
2024-01-01T10:12:30Z,-10.2,-10.5,-9.9
2024-01-01T10:13:00Z,-12.8,-13.1,-12.5
2024-01-01T10:13:30Z,-13.9,-14.2,-13.6
2024-01-01T10:14:00Z,-12.5,-12.8,-12.2
2024-01-01T10:14:30Z,-9.8,-10.1,-9.5
2024-01-01T10:15:00Z,-6.4,-6.7,-6.1
2024-01-01T10:15:30Z,-2.1,-2.4,-1.8
2024-01-01T10:16:00Z,3.7,3.4,4.0
2024-01-01T10:16:30Z,9.2,8.9,9.5
2024-01-01T10:17:00Z,13.6,13.3,13.9
2024-01-01T10:17:30Z,16.8,16.5,17.1
2024-01-01T10:18:00Z,18.4,18.1,18.7
2024-01-01T10:18:30Z,15.9,15.6,16.2
2024-01-01T10:19:00Z,11.7,11.4,12.0
2024-01-01T10:19:30Z,6.3,6.0,6.6
2024-01-01T10:20:00Z,0.8,0.5,1.1
2024-01-01T10:20:30Z,-4.2,-4.5,-3.9
2024-01-01T10:21:00Z,-8.6,-8.9,-8.3
2024-01-01T10:21:30Z,-11.4,-11.7,-11.1
2024-01-01T10:22:00Z,-12.7,-13.0,-12.4
2024-01-01T10:22:30Z,-11.3,-11.6,-11.0
2024-01-01T10:23:00Z,-8.1,-8.4,-7.8
2024-01-01T10:23:30Z,-3.9,-4.2,-3.6
2024-01-01T10:24:00Z,1.5,1.2,1.8
2024-01-01T10:24:30Z,7.8,7.5,8.1
2024-01-01T10:25:00Z,14.3,14.0,14.6
