timestamp,sensor_1,sensor_2,sensor_3
2024-01-01T10:00:00Z,22.1,22.8,22.4
2024-01-01T10:00:30Z,22.2,22.9,22.5
2024-01-01T10:01:00Z,22.0,22.7,22.3
2024-01-01T10:01:30Z,22.3,23.0,22.6
2024-01-01T10:02:00Z,22.1,22.8,22.4
2024-01-01T10:02:30Z,21.9,22.6,22.2
2024-01-01T10:03:00Z,22.2,22.9,22.5
2024-01-01T10:03:30Z,22.4,23.1,22.7
2024-01-01T10:04:00Z,22.0,22.7,22.3
2024-01-01T10:04:30Z,22.3,23.0,22.6
2024-01-01T10:05:00Z,22.1,22.8,22.4
2024-01-01T10:05:30Z,21.8,22.5,22.1
2024-01-01T10:06:00Z,22.5,23.2,22.8
2024-01-01T10:06:30Z,22.2,22.9,22.5
2024-01-01T10:07:00Z,22.0,22.7,22.3
2024-01-01T10:07:30Z,22.3,23.0,22.6
2024-01-01T10:08:00Z,22.1,22.8,22.4
2024-01-01T10:08:30Z,21.9,22.6,22.2
2024-01-01T10:09:00Z,22.4,23.1,22.7
2024-01-01T10:09:30Z,22.2,22.9,22.5
2024-01-01T10:10:00Z,22.3,23.0,22.6
2024-01-01T10:10:30Z,22.1,22.8,22.4
2024-01-01T10:11:00Z,22.4,23.1,22.7
2024-01-01T10:11:30Z,22.0,22.7,22.3
2024-01-01T10:12:00Z,22.2,22.9,22.5
2024-01-01T10:12:30Z,22.5,23.2,22.8
2024-01-01T10:13:00Z,22.1,22.8,22.4
2024-01-01T10:13:30Z,21.9,22.6,22.2
2024-01-01T10:14:00Z,22.3,23.0,22.6
2024-01-01T10:14:30Z,22.2,22.9,22.5
2024-01-01T10:15:00Z,22.0,22.7,22.3
2024-01-01T10:15:30Z,22.4,23.1,22.7
2024-01-01T10:16:00Z,22.1,22.8,22.4
2024-01-01T10:16:30Z,21.8,22.5,22.1
2024-01-01T10:17:00Z,22.5,23.2,22.8
2024-01-01T10:17:30Z,22.2,22.9,22.5
2024-01-01T10:18:00Z,22.0,22.7,22.3
2024-01-01T10:18:30Z,22.3,23.0,22.6
2024-01-01T10:19:00Z,22.1,22.8,22.4
2024-01-01T10:19:30Z,21.9,22.6,22.2
2024-01-01T10:20:00Z,22.4,23.1,22.7
2024-01-01T10:20:30Z,22.2,22.9,22.5
2024-01-01T10:21:00Z,22.3,23.0,22.6
2024-01-01T10:21:30Z,22.1,22.8,22.4
2024-01-01T10:22:00Z,22.0,22.7,22.3
2024-01-01T10:22:30Z,22.4,23.1,22.7
2024-01-01T10:23:00Z,22.2,22.9,22.5
2024-01-01T10:23:30Z,22.5,23.2,22.8
2024-01-01T10:24:00Z,22.1,22.8,22.4
2024-01-01T10:24:30Z,21.9,22.6,22.2
2024-01-01T10:25:00Z,22.3,23.0,22.6
