# ProofKit Example: Powder Coat Cure with Data Gaps (Sensor Disconnection)
# Job: Decorative furniture coating batch PWC-2024-003
# Equipment: Dual PMT Sensor Array (TC-200 series)
# Date: 2024-01-15
# Description: Data gaps exceeding allowed threshold due to sensor disconnection during cure
# Expected Result: FAIL - data gaps too large for verification
timestamp,pmt_sensor_1,pmt_sensor_2
2024-01-15T16:00:00Z,25.2,25.0
2024-01-15T16:00:30Z,34.5,34.1
2024-01-15T16:01:00Z,48.8,48.2
2024-01-15T16:01:30Z,65.1,64.7
2024-01-15T16:02:00Z,81.3,80.9
2024-01-15T16:02:30Z,97.5,97.1
2024-01-15T16:03:00Z,113.2,112.8
2024-01-15T16:03:30Z,128.0,127.6
2024-01-15T16:04:00Z,142.8,142.4
2024-01-15T16:04:30Z,156.6,156.2
# GAP: Sensor disconnection from 16:05:00 to 16:07:30 (2.5 minutes gap)
2024-01-15T16:07:30Z,183.2,182.8
2024-01-15T16:08:00Z,183.0,182.6
2024-01-15T16:08:30Z,182.8,182.4
2024-01-15T16:09:00Z,182.6,182.2
2024-01-15T16:09:30Z,182.4,
# GAP: Second sensor fails from 16:10:00 to 16:11:30
2024-01-15T16:11:30Z,181.8,181.4
2024-01-15T16:12:00Z,181.6,181.2
2024-01-15T16:12:30Z,181.4,181.0
2024-01-15T16:13:00Z,181.2,180.8
2024-01-15T16:13:30Z,181.0,180.6
2024-01-15T16:14:00Z,180.8,180.4
2024-01-15T16:14:30Z,180.6,180.2
2024-01-15T16:15:00Z,180.4,180.0
2024-01-15T16:15:30Z,180.2,179.8
2024-01-15T16:16:00Z,180.0,179.6
2024-01-15T16:16:30Z,179.8,179.4
2024-01-15T16:17:00Z,179.6,179.2
