# ProofKit Example: Fahrenheit Input Temperature Data - 356°F (180°C) for 10 minutes
# Job: US automotive parts coating batch PWC-2024-007
# Equipment: Dual PMT Sensor Array (TC-200F series)
# Date: 2024-01-17
# Description: Temperature data in Fahrenheit showing successful cure at 356°F target
# Expected Result: PASS - meets cure requirements after F to C conversion
# Temperature: 356°F = 180°C
timestamp,pmt_sensor_1_f,pmt_sensor_2_f
2024-01-17T13:00:00Z,77.4,77.0
2024-01-17T13:00:30Z,90.5,90.0
2024-01-17T13:01:00Z,114.4,113.4
2024-01-17T13:01:30Z,143.8,142.6
2024-01-17T13:02:00Z,173.0,171.8
2024-01-17T13:02:30Z,203.9,203.0
2024-01-17T13:03:00Z,234.0,232.2
2024-01-17T13:03:30Z,262.4,260.7
2024-01-17T13:04:00Z,289.0,287.3
2024-01-17T13:04:30Z,313.9,312.2
2024-01-17T13:05:00Z,335.1,333.4
2024-01-17T13:05:30Z,347.9,346.2
2024-01-17T13:06:00Z,355.6,354.9
2024-01-17T13:06:30Z,358.3,356.6
2024-01-17T13:07:00Z,360.5,358.8
2024-01-17T13:07:30Z,361.8,360.1
2024-01-17T13:08:00Z,361.4,359.7
2024-01-17T13:08:30Z,361.0,359.3
2024-01-17T13:09:00Z,360.7,359.0
2024-01-17T13:09:30Z,360.3,358.6
2024-01-17T13:10:00Z,360.0,358.3
2024-01-17T13:10:30Z,359.6,357.9
2024-01-17T13:11:00Z,359.2,357.5
2024-01-17T13:11:30Z,358.9,357.2
2024-01-17T13:12:00Z,358.5,356.8
2024-01-17T13:12:30Z,358.2,356.5
2024-01-17T13:13:00Z,357.8,356.1
2024-01-17T13:13:30Z,357.4,355.7
2024-01-17T13:14:00Z,357.1,355.4
2024-01-17T13:14:30Z,356.7,355.0
2024-01-17T13:15:00Z,356.4,354.7
2024-01-17T13:15:30Z,356.0,354.3
2024-01-17T13:16:00Z,355.6,354.0
2024-01-17T13:16:30Z,355.3,353.6
2024-01-17T13:17:00Z,354.9,353.2
2024-01-17T13:17:30Z,354.6,352.9
2024-01-17T13:18:00Z,354.2,352.5
2024-01-17T13:18:30Z,353.8,352.1
2024-01-17T13:19:00Z,353.5,351.8
2024-01-17T13:19:30Z,353.1,351.4
