# ProofKit Example: Powder Coat Cure with Slow Temperature Ramp Rate
# Job: Precision electronic component coating batch PWC-2024-004
# Equipment: Dual PMT Sensor Array (TC-200 series)
# Date: 2024-01-16
# Description: Temperature ramp is too slow, taking excessive time to reach target
# Expected Result: FAIL - exceeds maximum time to threshold
timestamp,pmt_sensor_1,pmt_sensor_2
2024-01-16T09:00:00Z,23.5,23.2
2024-01-16T09:00:30Z,25.2,24.9
2024-01-16T09:01:00Z,27.1,26.8
2024-01-16T09:01:30Z,29.3,29.0
2024-01-16T09:02:00Z,31.8,31.5
2024-01-16T09:02:30Z,34.5,34.2
2024-01-16T09:03:00Z,37.4,37.1
2024-01-16T09:03:30Z,40.6,40.3
2024-01-16T09:04:00Z,44.1,43.8
2024-01-16T09:04:30Z,47.8,47.5
2024-01-16T09:05:00Z,51.7,51.4
2024-01-16T09:05:30Z,55.9,55.6
2024-01-16T09:06:00Z,60.3,60.0
2024-01-16T09:06:30Z,64.9,64.6
2024-01-16T09:07:00Z,69.7,69.4
2024-01-16T09:07:30Z,74.7,74.4
2024-01-16T09:08:00Z,79.9,79.6
2024-01-16T09:08:30Z,85.3,85.0
2024-01-16T09:09:00Z,90.9,90.6
2024-01-16T09:09:30Z,96.7,96.4
2024-01-16T09:10:00Z,102.7,102.4
2024-01-16T09:10:30Z,108.9,108.6
2024-01-16T09:11:00Z,115.3,115.0
2024-01-16T09:11:30Z,121.9,121.6
2024-01-16T09:12:00Z,128.7,128.4
2024-01-16T09:12:30Z,135.7,135.4
2024-01-16T09:13:00Z,142.9,142.6
2024-01-16T09:13:30Z,150.3,150.0
2024-01-16T09:14:00Z,157.9,157.6
2024-01-16T09:14:30Z,165.7,165.4
2024-01-16T09:15:00Z,173.7,173.4
2024-01-16T09:15:30Z,179.9,179.6
2024-01-16T09:16:00Z,182.1,181.8
2024-01-16T09:16:30Z,183.3,183.0
2024-01-16T09:17:00Z,183.8,183.5
2024-01-16T09:17:30Z,184.0,183.7
2024-01-16T09:18:00Z,183.9,183.6
2024-01-16T09:18:30Z,183.7,183.4
2024-01-16T09:19:00Z,183.5,183.2
2024-01-16T09:19:30Z,183.3,183.0
