# ProofKit Example: Powder Coat Cure with Insufficient Hold Time
# Job: Industrial bracket coating batch PWC-2024-002
# Equipment: Dual PMT Sensor Array (TC-200 series)
# Date: 2024-01-15
# Description: Temperature reaches target but cools down too quickly - insufficient hold time
# Expected Result: FAIL - hold time too short
timestamp,pmt_sensor_1,pmt_sensor_2
2024-01-15T14:00:00Z,24.8,24.5
2024-01-15T14:00:30Z,33.2,32.8
2024-01-15T14:01:00Z,47.5,47.1
2024-01-15T14:01:30Z,64.8,64.4
2024-01-15T14:02:00Z,82.1,81.7
2024-01-15T14:02:30Z,98.5,98.1
2024-01-15T14:03:00Z,114.2,113.8
2024-01-15T14:03:30Z,129.0,128.6
2024-01-15T14:04:00Z,143.8,143.4
2024-01-15T14:04:30Z,157.6,157.2
2024-01-15T14:05:00Z,169.4,169.0
2024-01-15T14:05:30Z,176.5,176.1
2024-01-15T14:06:00Z,180.8,180.4
2024-01-15T14:06:30Z,182.3,181.9
2024-01-15T14:07:00Z,183.5,183.1
2024-01-15T14:07:30Z,184.2,183.8
2024-01-15T14:08:00Z,184.0,183.6
2024-01-15T14:08:30Z,183.8,183.4
2024-01-15T14:09:00Z,183.6,183.2
2024-01-15T14:09:30Z,183.4,183.0
2024-01-15T14:10:00Z,179.5,179.1
2024-01-15T14:10:30Z,176.2,175.8
2024-01-15T14:11:00Z,173.0,172.6
2024-01-15T14:11:30Z,170.4,170.0
2024-01-15T14:12:00Z,168.2,167.8
2024-01-15T14:12:30Z,166.5,166.1
2024-01-15T14:13:00Z,165.0,164.6
2024-01-15T14:13:30Z,163.8,163.4
2024-01-15T14:14:00Z,162.5,162.1
2024-01-15T14:14:30Z,161.2,160.8
